timestamp,latitude,longitude,altitude,speed
1728201805.000000,46.9291237,7.1190329,,0.022
1728201805.100000,46.9291235,7.1190332,,0.048
1728201805.200000,46.9291236,7.1190333,505.908,0.018
1728201805.300000,46.9291235,7.1190335,,0.012
1728201805.400000,46.9291234,7.1190337,,0.037
1728201805.500000,46.9291235,7.1190335,,0.036
1728201805.600000,46.9291235,7.1190335,,0.025
1728201805.700000,46.9291236,7.1190336,,0.049
1728201805.800000,46.9291236,7.1190334,,0.044
1728201805.900000,46.9291235,7.1190338,,0.024
1728201806.000000,46.9291236,7.119034,,0.063
1728201806.100000,46.9291234,7.1190342,,0.01
1728201806.200000,46.9291233,7.1190344,505.628,0.053
1728201806.300000,46.9291235,7.1190346,,0.069
1728201806.400000,46.9291232,7.1190349,,0.015
1728201806.500000,46.9291232,7.1190351,,0.056
1728201806.600000,46.929123,7.1190354,,0.052
1728201806.700000,46.9291231,7.1190352,,0.142
1728201806.800000,46.9291232,7.1190353,,0.089
1728201806.900000,46.929123,7.1190358,,0.05
1728201807.000000,46.9291227,7.1190359,,0.061
1728201807.100000,46.9291228,7.1190362,,0.033
1728201807.200000,46.9291226,7.1190365,505.383,0.057
1728201807.300000,46.9291225,7.1190366,,0.01
1728201807.400000,46.9291224,7.1190366,,0.045
1728201807.500000,46.9291223,7.119037,,0.037
1728201807.600000,46.9291221,7.1190371,,0.05
1728201807.700000,46.9291222,7.1190373,,0.06
1728201807.800000,46.9291221,7.1190373,,0.074
1728201807.900000,46.9291221,7.1190372,,0.061
1728201808.000000,46.9291222,7.1190372,,0.031
1728201808.100000,46.9291221,7.1190376,,0.052
1728201808.200000,46.929122,7.1190378,505.124,0.036
1728201808.300000,46.9291217,7.1190377,,0.128
1728201808.400000,46.9291217,7.1190376,,0.074
1728201808.500000,46.9291216,7.1190378,,0.079
1728201808.600000,46.9291214,7.1190383,,0.098
1728201808.700000,46.9291214,7.1190385,,0.113
1728201808.800000,46.9291211,7.1190386,,0.143
1728201808.900000,46.9291211,7.1190387,,0.116
1728201809.000000,46.9291214,7.1190384,,0.013
1728201809.100000,46.9291213,7.1190384,,0.034
1728201809.200000,46.9291212,7.1190381,504.982,0.14
1728201809.300000,46.9291215,7.1190381,,0.047
1728201809.400000,46.9291216,7.1190379,,0.025
1728201809.500000,46.9291213,7.1190381,,0.076
1728201809.600000,46.9291214,7.1190383,,0.01
1728201809.700000,46.9291213,7.1190384,,0.029
1728201809.800000,46.9291212,7.1190386,,0.041
1728201809.900000,46.9291212,7.1190388,,0.031
1728201810.000000,46.9291216,7.1190388,,0.089
1728201810.100000,46.9291218,7.1190388,,0.15
1728201810.200000,46.9291217,7.1190392,504.929,0.085
1728201810.300000,46.9291216,7.1190394,,0.041
1728201810.400000,46.9291217,7.1190394,,0.054
1728201810.500000,46.9291216,7.1190397,,0.048
1728201810.600000,46.9291216,7.1190397,,0.035
1728201810.700000,46.9291217,7.1190396,,0.018
1728201810.800000,46.9291218,7.1190397,,0.066
1728201810.900000,46.9291217,7.1190398,,0.051
1728201811.000000,46.9291217,7.1190396,,0.022
1728201811.100000,46.9291219,7.1190395,,0.014
1728201811.200000,46.9291218,7.1190395,504.634,0.078
1728201811.300000,46.9291217,7.1190395,,0.139
1728201811.400000,46.9291222,7.1190392,,0.07
1728201811.500000,46.9291223,7.119039,,0.029
1728201811.600000,46.9291224,7.1190387,,0.12
1728201811.700000,46.9291228,7.1190388,,0.094
1728201811.800000,46.9291228,7.1190388,,0.066
1728201811.900000,46.9291231,7.1190384,,0.079
1728201812.000000,46.9291229,7.1190386,,0.095
1728201812.100000,46.9291227,7.1190386,,0.052
1728201812.200000,46.9291229,7.1190384,504.673,0.029
1728201812.300000,46.9291232,7.1190384,,0.065
1728201812.400000,46.9291234,7.1190382,,0.072
1728201812.500000,46.929123,7.1190384,,0.135
1728201812.600000,46.9291233,7.1190383,,0.059
1728201812.700000,46.9291237,7.1190382,,0.081
1728201812.800000,46.9291236,7.1190379,,0.075
1728201812.900000,46.9291243,7.1190377,,0.107
1728201813.000000,46.9291242,7.1190377,,0.042
1728201813.100000,46.9291246,7.1190373,,0.048
1728201813.200000,46.929125,7.1190371,504.67,0.082
1728201813.300000,46.9291249,7.1190371,,0.045
1728201813.400000,46.9291254,7.1190368,,0.097
1728201813.500000,46.9291252,7.1190367,,0.017
1728201813.600000,46.9291255,7.1190368,,0.054
1728201813.700000,46.9291257,7.1190365,,0.054
1728201813.800000,46.9291255,7.1190365,,0.048
1728201813.900000,46.9291254,7.1190366,,0.039
1728201814.000000,46.9291255,7.1190365,,0.034
1728201814.100000,46.9291252,7.1190366,,0.112
1728201814.200000,46.9291259,7.119036,504.805,0.08
1728201814.300000,46.9291263,7.1190354,,0.138
1728201814.400000,46.9291263,7.1190354,,0.104
1728201814.500000,46.929126,7.1190357,,0.016
1728201814.600000,46.929126,7.119036,,0.1
1728201814.700000,46.9291258,7.1190362,,0.028
1728201814.800000,46.9291256,7.1190359,,0.11
1728201814.900000,46.9291262,7.1190357,,0.079
1728201815.000000,46.9291261,7.119036,,0.071
1728201815.100000,46.9291259,7.1190363,,0.03
1728201815.200000,46.9291256,7.1190362,505.013,0.098
1728201815.300000,46.9291256,7.1190359,,0.123
1728201815.400000,46.9291258,7.1190361,,0.009
1728201815.500000,46.929126,7.1190361,,0.054
1728201815.600000,46.9291258,7.1190361,,0.048
1728201815.700000,46.9291259,7.1190364,,0.047
1728201815.800000,46.929126,7.1190363,,0.053
1728201815.900000,46.9291264,7.1190361,,0.134
1728201816.000000,46.9291271,7.1190358,,0.244
1728201816.100000,46.9291277,7.1190353,,0.339
1728201816.200000,46.9291277,7.1190355,504.944,0.305
1728201816.300000,46.9291274,7.1190352,,0.309
1728201816.400000,46.9291251,7.1190367,,0.324
1728201816.500000,46.9291238,7.1190376,,0.334
1728201816.600000,46.9291228,7.1190386,,0.406
1728201816.700000,46.9291228,7.1190376,,0.48
1728201816.800000,46.9291214,7.1190369,,0.84
1728201816.900000,46.9291213,7.1190351,,1.018
1728201817.000000,46.9291203,7.1190367,,0.395
1728201817.100000,46.9291208,7.1190379,,0.637
1728201817.200000,46.9291207,7.1190396,504.685,0.959
1728201817.300000,46.9291197,7.1190398,,0.814
1728201817.400000,46.9291197,7.1190405,,0.782
1728201817.500000,46.9291203,7.1190402,,0.505
1728201817.600000,46.9291209,7.1190393,,0.239
1728201817.700000,46.9291207,7.1190393,,0.15
1728201817.800000,46.9291212,7.1190393,,0.058
1728201817.900000,46.9291202,7.1190399,,0.261
1728201818.000000,46.9291185,7.1190403,,0.576
1728201818.100000,46.9291187,7.1190399,,0.428
1728201818.200000,46.929119,7.1190395,504.833,0.252
1728201818.300000,46.9291186,7.1190395,,0.274
1728201818.400000,46.9291184,7.1190398,,0.239
1728201818.500000,46.9291183,7.1190397,,0.192
1728201818.600000,46.9291184,7.11904,,0.139
1728201818.700000,46.9291179,7.1190402,,0.174
1728201818.800000,46.9291176,7.1190404,,0.203
1728201818.900000,46.9291176,7.1190404,,0.173
1728201819.000000,46.9291172,7.1190404,,0.228
1728201819.100000,46.9291173,7.1190406,,0.214
1728201819.200000,46.9291171,7.1190407,505.071,0.222
1728201819.300000,46.9291173,7.1190398,,0.126
1728201819.400000,46.9291178,7.1190394,,0.028
1728201819.500000,46.9291183,7.1190392,,0.109
1728201819.600000,46.9291179,7.1190395,,0.024
1728201819.700000,46.929118,7.1190396,,0.067
1728201819.800000,46.9291182,7.1190398,,0.087
1728201819.900000,46.9291183,7.1190397,,0.125
1728201820.000000,46.929118,7.1190402,,0.07
1728201820.100000,46.9291189,7.1190397,,0.238
1728201820.200000,46.9291199,7.1190396,505.326,0.425
1728201820.300000,46.929119,7.1190406,,0.211
1728201820.400000,46.9291183,7.1190419,,0.216
1728201820.500000,46.9291185,7.1190425,,0.256
1728201820.600000,46.9291192,7.1190425,,0.261
1728201820.700000,46.92912,7.1190432,,0.38
1728201820.800000,46.9291201,7.119042,,0.266
1728201820.900000,46.9291207,7.1190413,,0.326
1728201821.000000,46.9291208,7.119042,,0.281
1728201821.100000,46.9291195,7.1190426,,0.098
1728201821.200000,46.9291188,7.1190433,505.005,0.164
1728201821.300000,46.9291179,7.1190445,,0.307
