timestamp,latitude,longitude,altitude,speed
1728207052.500000,46.8059918,7.1534311,677.586,0.327
1728207052.600000,46.8059922,7.1534297,677.586,0.351
1728207052.700000,46.805993,7.1534274,677.586,0.414
1728207052.800000,46.8059936,7.153425,677.586,0.472
1728207052.900000,46.8059941,7.1534236,677.586,0.494
1728207053.000000,46.8059946,7.1534232,677.586,0.493
1728207053.100000,46.8059947,7.1534226,677.848,0.496
1728207053.200000,46.8059948,7.1534221,677.848,0.493
1728207053.300000,46.8059943,7.1534215,677.848,0.482
1728207053.400000,46.8059933,7.153421,677.848,0.455
1728207053.500000,46.8059915,7.1534209,677.848,0.407
1728207053.600000,46.805989,7.153421,677.848,0.352
1728207053.700000,46.8059867,7.1534217,677.848,0.286
1728207053.800000,46.8059867,7.1534223,677.848,0.25
1728207053.900000,46.8059868,7.1534231,677.848,0.216
1728207054.000000,46.8059882,7.1534226,677.848,0.248
1728207054.100000,46.8059912,7.1534217,677.824,0.28
1728207054.200000,46.8059917,7.1534209,677.824,0.3
1728207054.300000,46.8059922,7.15342,677.824,0.317
1728207054.400000,46.8059937,7.1534188,677.824,0.376
1728207054.500000,46.8059941,7.1534182,677.824,0.388
1728207054.600000,46.8059944,7.1534172,677.824,0.4
1728207054.700000,46.8059941,7.1534152,677.824,0.421
1728207054.800000,46.8059954,7.1534133,677.824,0.488
1728207054.900000,46.8059969,7.1534114,677.824,0.559
1728207055.000000,46.8059975,7.1534103,677.824,0.579
1728207055.100000,46.8059984,7.1534095,677.983,0.598
1728207055.200000,46.8059997,7.1534083,677.983,0.599
1728207055.300000,46.8060019,7.1534058,677.983,0.654
1728207055.400000,46.8060047,7.1534044,677.983,0.694
1728207055.500000,46.8060084,7.1534035,677.983,0.743
1728207055.600000,46.8060118,7.1534018,677.983,0.809
1728207055.700000,46.8060139,7.1534002,677.983,0.836
1728207055.800000,46.8060151,7.1533989,677.983,0.825
1728207055.900000,46.8060157,7.1533972,677.983,0.806
1728207056.000000,46.8060176,7.1533949,677.983,0.834
1728207056.100000,46.8060193,7.1533924,676.788,0.853
1728207056.200000,46.8060203,7.1533899,676.788,0.854
1728207056.300000,46.8060213,7.1533876,676.788,0.859
1728207056.400000,46.806022,7.1533859,676.788,0.844
1728207056.500000,46.8060217,7.1533863,676.788,0.78
1728207056.600000,46.8060224,7.1533858,676.788,0.759
1728207056.700000,46.8060232,7.1533844,676.788,0.753
1728207056.800000,46.8060241,7.1533827,676.788,0.754
1728207056.900000,46.806025,7.153382,676.788,0.739
1728207057.000000,46.8060262,7.1533797,676.788,0.764
1728207057.100000,46.8060277,7.1533775,675.632,0.792
1728207057.200000,46.8060289,7.1533767,675.632,0.78
1728207057.300000,46.8060302,7.1533759,675.632,0.769
